QUARTER,BANK,Purchase Sales (in Bn),Purchase Sales Industry Share (%),Balances (in Bn),Balances Industry Share (%),Cards in Force (in Bn),CIF Industry Share (%),Sales / CIF ('000),Balances / CIF ('000)
1Q23,BDO,100.862,0.245550908,123.805,0.21553931,2.821,0.23969751,35.75398795,43.88691953
2Q23,BDO,109.499,0.247065088,133.375,0.214909788,3.01,0.246680872,36.37840532,44.31063123
3Q23,BDO,113.429,0.242117311,140.038,0.212049897,3.391,0.262273872,33.45001474,41.29696255
4Q23,BDO,130.282,0.245506485,155.677,0.215027442,3.504,0.262826283,37.18093607,44.42836758
1Q24,BDO,110.995,0.226214787,156.915,0.210342669,3.778,0.270921477,29.37930122,41.53388036
2Q24,BDO,131.366,0.245214833,172.237,0.215976576,3.876,0.267144531,33.89215686,44.43679051
3Q24,BDO,132.237,0.23502658,181.319,0.214042705,3.926,0.260478608,33.68237392,46.1841569
4Q24,BDO,154.943,0.241434116,205.626,0.219767606,3.768,0.245807043,41.12075372,54.57165605
1Q25,BDO,146.919,0.237576163,211.455,0.219826202,3.531,0.228425411,41.60832625,59.88530161
2Q25,BDO,168.635,0.252130554,234.66,0.225057041,3.7,0.227608268,45.57702703,63.42162162
3Q25,BDO,168.787,0.243863923,247.722,0.225275135,3.881,0.230094267,43.49059521,63.82942541
4Q25,BDO,188.626,0.243367348,274.401,0.22802125,3.896,0.223792291,48.41529774,70.43146817
1Q23,BPI,76.721,0.186779077,105.342,0.183396001,2.148,0.182513383,35.71741155,49.04189944
2Q23,BPI,85.58,0.193096104,116.643,0.187949184,2.269,0.185953122,37.71705597,51.40722785
3Q23,BPI,88.575,0.189065767,125.149,0.18950451,2.371,0.183382881,37.357655,52.78321383
4Q23,BPI,100.846,0.19003659,137.889,0.190457929,2.445,0.183393339,41.24580777,56.39631902
1Q24,BPI,96.149,0.195957706,144.044,0.193089248,2.686,0.19261384,35.79635145,53.62769918
2Q24,BPI,106.923,0.199588216,157.512,0.197512163,2.784,0.191880902,38.40625,56.57758621
3Q24,BPI,111.131,0.197514605,166.613,0.196682627,2.875,0.190747834,38.65426087,57.95234783
4Q24,BPI,123.948,0.193137321,180.948,0.193392415,2.957,0.192901121,41.91680758,61.19310112
1Q25,BPI,118.11,0.190990414,187.334,0.194750286,2.987,0.193233277,39.54134583,62.7164379
2Q25,BPI,127.604,0.190784044,203.095,0.194783771,3.038,0.186884843,42.00263331,66.85154707
3Q25,BPI,134.092,0.193736491,217.585,0.197868943,3.089,0.183138673,43.40951764,70.43865329
4Q25,BPI,151.608,0.195606315,238.592,0.198264751,3.146,0.180711126,48.19071837,75.83979657
1Q23,MB,61.54,0.149820576,107.897,0.187844149,1.421,0.12074093,43.30752991,75.93033075
2Q23,MB,66.723,0.150548625,115.418,0.185975317,1.452,0.118996886,45.95247934,79.48898072
3Q23,MB,72.917,0.155643336,123.893,0.187602636,1.482,0.114623969,49.20175439,83.59851552
4Q23,MB,79.083,0.149025877,131.75,0.181978491,1.507,0.113036304,52.47710683,87.42534837
1Q24,MB,76.79,0.156502847,135.293,0.181358638,1.542,0.110577268,49.79896239,87.7386511
2Q24,MB,80.457,0.150185359,139.738,0.175224457,1.579,0.108829003,50.95440152,88.49778341
3Q24,MB,81.4,0.144673303,144.254,0.170288367,1.606,0.106553399,50.68493151,89.82191781
4Q24,MB,93.071,0.145024394,156.065,0.166798126,1.62,0.105681372,57.45123457,96.33641975
1Q25,MB,85.604,0.138426411,156.432,0.16262492,1.667,0.1078406,51.35212957,93.84043191
2Q25,MB,90.521,0.135340291,162.465,0.155816467,1.716,0.105561024,52.7511655,94.67657343
3Q25,MB,95.877,0.138523354,170.136,0.154719445,1.789,0.106065098,53.59250978,95.10117384
4Q25,MB,107.198,0.138308043,181.345,0.150693742,1.845,0.105979666,58.10189702,98.2899729
1Q23,UB,71.794,0.174784179,81.70738391,0.142249127,1.419585,0.120620698,50.57393534,57.55723251
2Q23,UB,76.622,0.172883964,87.12323973,0.140383407,1.432,0.11735781,53.50698324,60.84025121
3Q23,UB,77.916,0.166313839,91.17540908,0.138060642,1.480563,0.114512825,52.62592676,61.58158017
4Q23,UB,84.629,0.159476891,96.54866073,0.133356961,1.524,0.114311431,55.5308399,63.35213958
1Q24,UB,78.91,0.16082354,98.071,0.131462995,1.591,0.114091072,49.59773727,61.64110622
2Q24,UB,74.402,0.13888277,97.559,0.122334102,1.696,0.116892963,43.86910377,57.52299528
3Q24,UB,85.024,0.151114287,102.564,0.121074327,1.823255,0.120967632,46.63308204,56.2532394
4Q24,UB,91.296,0.142258567,109.218,0.116729297,1.862097,0.12147467,49.02859518,58.65322805
1Q25,UB,94.479,0.152777778,109.636,0.113976333,1.874,0.121231725,50.41568837,58.50373533
2Q25,UB,98.208,0.146833323,115.066,0.11035717,1.918,0.117987205,51.20333681,59.99270073
3Q25,UB,99.282,0.143442907,119.466,0.108640812,1.98,0.117388984,50.14242424,60.33636364
4Q25,UB,114.584,0.147837542,131.652,0.109399942,2.044,0.117410535,56.05870841,64.40900196
1Q23,RCBC,29.38,0.0715263,52.342,0.091125225,0.969,0.082334948,30.31991744,54.01651187
2Q23,RCBC,31.681,0.071482562,58.061,0.093554843,0.984,0.080642518,32.19613821,59.0050813
3Q23,RCBC,35.766,0.076343508,65.318,0.098906548,1.014,0.078426926,35.27218935,64.41617357
4Q23,RCBC,42.554,0.080189765,74.667,0.103133116,1.042,0.078157816,40.83877159,71.65738964
1Q24,RCBC,41.649,0.08488328,81.267,0.108937435,1.083,0.077662245,38.45706371,75.03878116
2Q24,RCBC,44.958,0.083921018,88.92,0.111501229,1.133,0.078089462,39.68049426,78.48190644
3Q24,RCBC,52.215,0.092802414,98.403,0.116162367,1.207,0.080080917,43.26014913,81.52692626
4Q24,RCBC,57.161,0.089068984,110.453,0.118049232,1.26,0.082196623,45.36587302,87.66111111
1Q25,RCBC,59.056,0.095496824,116.98,0.121611071,1.326,0.085780825,44.53695324,88.22021116
2Q25,RCBC,61.578,0.092066862,128.443,0.123186745,1.401,0.086183563,43.95289079,91.67951463
3Q25,RCBC,60.533,0.087458245,135.616,0.12332741,1.449,0.085907393,41.77570738,93.59282264
4Q25,RCBC,66.233,0.085454548,145.797,0.121154129,1.491,0.085645356,44.42186452,97.78470825
1Q23,SECBANK,15.243,0.037109442,24.367,0.042421924,0.346415,0.029434531,44.00213617,70.34048757
2Q23,SECBANK,16.547,0.037335373,25.878,0.041697736,0.435,0.035649893,38.03908046,59.48965517
3Q23,SECBANK,19.431,0.041476002,28.259,0.042790657,0.47967,0.037099649,40.50910001,58.91341964
4Q23,SECBANK,25.233,0.047549663,33.143,0.045778468,0.508,0.03810381,49.67125984,65.24212598
1Q24,SECBANK,23.251,0.047387,35.238,0.047236115,0.547,0.039225529,42.50639854,64.42047532
2Q24,SECBANK,28.417,0.053044699,40.073,0.050249536,0.599,0.04128472,47.44073456,66.89983306
3Q24,SECBANK,27.427,0.048746372,46.101,0.054421118,0.654,0.043390986,41.93730887,70.49082569
4Q24,SECBANK,36.307,0.056574021,53.03,0.056677055,0.721,0.047034734,50.35644938,73.55062413
1Q25,SECBANK,32.641,0.052782306,55.527,0.057725235,0.707,0.045736835,46.16831683,78.53889675
2Q25,SECBANK,33.149,0.049561928,58.257,0.055872957,0.695,0.042753445,47.69640288,83.82302158
3Q25,SECBANK,32.202,0.046525538,58.257,0.052978151,0.671,0.039781822,47.99105812,86.82116244
4Q25,SECBANK,34.823,0.044929019,62.769,0.052159671,0.642,0.036877477,54.24143302,97.77102804
